Ratio_Missing:	nsam[0]:	Eff_length1_pop_outg[0]:	Eff_length2_pop_outg[0]:	Eff_length3_pop_outg[0]:	S[0]:	Theta(Wat)[0]:	Theta(Taj)[0]:	Theta(Fu&Li)[0]:	Theta(Fay&Wu)[0]:	Theta(Zeng)[0]:	Theta(Achaz,Wat)[0]:	Theta(Achaz,Taj)[0]:	Theta/nt(Taj)HKY[0]:	Divergence[0]:	Divergence/nt_HKY[0]:	TajimaD[0]:	Fu&LiD[0]:	Fu&LiF[0]:	Fay&WunormH[0]:	ZengE[0]:	AchazY[0]:	FerrettiL[0]:	
NA	100	100000.00	100000.00	100000.00	1465	282.961788	277.350909	255.000000	313.376364	295.363636	289.655411	277.807050	NA	NA	NA	-0.067616	0.307384	0.147254	-0.218560	0.138526	-0.154071	-0.201741	
NA	100	100000.00	100000.00	100000.00	1330	256.886811	237.866061	242.000000	253.992525	245.929293	260.450485	237.781694	NA	NA	NA	-0.252413	0.180016	-0.029977	-0.107733	-0.134746	-0.327741	0.021136	
NA	100	100000.00	100000.00	100000.00	1440	278.133089	309.627071	313.000000	292.393131	301.010101	269.786486	309.558235	NA	NA	NA	0.386099	-0.389856	-0.022605	0.106365	0.259945	0.555166	-0.096222	
NA	100	100000.00	100000.00	100000.00	1388	268.089394	248.412525	310.000000	277.001616	262.707071	258.056639	247.155638	NA	NA	NA	-0.250239	-0.485920	-0.428084	-0.183036	-0.063436	-0.159063	-0.062378	
NA	100	100000.00	100000.00	100000.00	1395	269.441430	236.022828	313.000000	300.926667	268.474747	259.014177	234.451866	NA	NA	NA	-0.422873	-0.502529	-0.532392	-0.413455	-0.011337	-0.357082	-0.219270	
NA	100	100000.00	100000.00	100000.00	1181	228.107762	223.252929	252.000000	234.767273	229.010101	222.388328	222.666254	NA	NA	NA	-0.072527	-0.324758	-0.234508	-0.086589	0.012487	0.004704	-0.054734	
NA	100	100000.00	100000.00	100000.00	1390	268.475690	281.006061	263.000000	304.206061	292.606061	269.786486	281.373531	NA	NA	NA	0.159126	0.063396	0.124979	-0.148320	0.283995	0.161741	-0.249725	
NA	100	100000.00	100000.00	100000.00	1430	276.201609	278.827879	256.000000	284.485253	281.656566	281.037564	279.293754	NA	NA	NA	0.032421	0.227437	0.154049	-0.035160	0.062414	-0.023369	-0.056284	
NA	100	100000.00	100000.00	100000.00	1415	273.304389	279.186869	230.000000	218.489899	248.838384	283.670795	280.190682	NA	NA	NA	0.073387	0.492633	0.335418	0.381208	-0.282885	-0.046206	0.376371	
NA	100	100000.00	100000.00	100000.00	1405	271.372909	259.847071	279.000000	264.819596	262.333333	269.547101	259.456195	NA	NA	NA	-0.144811	-0.087375	-0.131531	-0.031452	-0.105259	-0.140982	0.045316	
NA	100	100000.00	100000.00	100000.00	1290	249.160892	249.261616	224.000000	251.405051	250.333333	255.184023	249.777159	NA	NA	NA	0.001378	0.313544	0.188813	-0.014762	0.014862	-0.079780	-0.016894	
NA	100	100000.00	100000.00	100000.00	1503	290.301411	307.809091	365.000000	244.776768	276.292929	272.419717	306.641929	NA	NA	NA	0.205661	-0.800674	-0.367335	0.372767	-0.152536	0.473095	0.294367	
NA	100	100000.00	100000.00	100000.00	1438	277.746793	290.669697	215.000000	291.774747	291.222222	292.767411	292.213976	NA	NA	NA	0.158647	0.702550	0.507822	-0.006830	0.153329	-0.007120	-0.094787	
NA	100	100000.00	100000.00	100000.00	1434	276.974201	277.696162	290.000000	281.818990	279.757576	273.856025	277.445063	NA	NA	NA	0.008888	-0.146246	-0.082800	-0.025551	0.031758	0.049356	-0.032827	
NA	100	100000.00	100000.00	100000.00	1338	258.431995	257.438182	252.000000	261.814343	259.626263	259.971716	257.549165	NA	NA	NA	-0.013110	0.077320	0.039201	-0.029061	0.014599	-0.035089	-0.024554	
NA	100	100000.00	100000.00	100000.00	1406	271.566057	298.792323	198.000000	266.338990	282.565657	289.176641	300.849309	NA	NA	NA	0.341828	0.842173	0.691693	0.205124	0.127991	0.152037	0.036119	
NA	100	100000.00	100000.00	100000.00	1576	304.401214	328.936162	245.000000	297.043636	312.989899	318.620952	330.649145	NA	NA	NA	0.274894	0.607583	0.514325	0.179898	0.089210	0.142221	0.045381	
NA	100	100000.00	100000.00	100000.00	1306	252.251260	272.072323	232.000000	245.422626	258.747475	257.099100	272.890126	NA	NA	NA	0.267853	0.249318	0.295875	0.181294	0.081344	0.231272	0.050780	
NA	100	100000.00	100000.00	100000.00	1369	264.419582	284.977172	270.000000	250.477374	267.727273	263.083716	285.282828	NA	NA	NA	0.265058	-0.065586	0.105537	0.223933	0.039523	0.317747	0.098932	
NA	100	100000.00	100000.00	100000.00	1481	286.052156	253.511919	312.000000	304.427475	278.969697	279.840640	252.318285	NA	NA	NA	-0.387911	-0.282205	-0.381205	-0.305569	-0.078259	-0.370410	-0.120573	
NA	100	100000.00	100000.00	100000.00	1457	281.416604	296.350505	304.000000	253.851515	275.101010	276.010486	296.194393	NA	NA	NA	0.180951	-0.249604	-0.050672	0.259245	-0.070929	0.275406	0.183839	
NA	100	100000.00	100000.00	100000.00	1360	262.681250	279.441010	251.000000	247.447879	263.444444	265.477562	280.021439	NA	NA	NA	0.217517	0.138183	0.201725	0.209032	0.009179	0.206301	0.108805	
NA	100	100000.00	100000.00	100000.00	1432	276.587905	262.649697	276.000000	293.996768	278.323232	276.728640	262.377242	NA	NA	NA	-0.171827	0.006610	-0.089967	-0.194546	0.019828	-0.195315	-0.118122	
NA	100	100000.00	100000.00	100000.00	1275	246.263672	242.242222	211.000000	311.070909	276.656566	254.705254	242.879819	NA	NA	NA	-0.055661	0.444531	0.236237	-0.479577	0.389772	-0.174816	-0.493583	
