Ratio_Missing:	nsam[0]:	Eff_length1_pop_outg[0]:	Eff_length2_pop_outg[0]:	Eff_length3_pop_outg[0]:	S[0]:	Theta(Wat)[0]:	Theta(Taj)[0]:	Theta(Fu&Li)[0]:	Theta(Fay&Wu)[0]:	Theta(Zeng)[0]:	Theta(Achaz,Wat)[0]:	Theta(Achaz,Taj)[0]:	Theta/nt(Taj)HKY[0]:	Divergence[0]:	Divergence/nt_HKY[0]:	TajimaD[0]:	Fu&LiD[0]:	Fu&LiF[0]:	Fay&WunormH[0]:	ZengE[0]:	AchazY[0]:	FerrettiL[0]:	
NA	100	100000.00	100000.00	100000.00	1146	221.347583	131.129293	317.000000	399.981818	265.555556	198.449864	127.336013	NA	NA	NA	-1.388801	-1.339197	-1.562120	-2.083313	0.630341	-1.348254	-1.512739	
NA	100	100000.00	100000.00	100000.00	1218	235.254237	125.991515	281.000000	446.493333	286.242424	224.303405	122.828077	NA	NA	NA	-1.582861	-0.603220	-1.226440	-2.337275	0.684307	-1.702813	-1.683699	
NA	100	100000.00	100000.00	100000.00	1133	218.836659	105.654545	346.000000	512.527273	309.090909	188.395709	100.749536	NA	NA	NA	-1.762224	-1.800446	-2.042893	-3.188849	1.301560	-1.750047	-2.515442	
NA	100	100000.00	100000.00	100000.00	1073	207.247781	133.480808	298.000000	294.600000	214.040404	185.523094	130.123274	NA	NA	NA	-1.212527	-1.355459	-1.475766	-1.333079	0.103396	-1.123242	-0.789736	
NA	100	100000.00	100000.00	100000.00	1192	230.232390	126.427071	342.000000	424.118384	275.272727	203.476941	122.027623	NA	NA	NA	-1.536494	-1.505426	-1.742486	-2.218100	0.617583	-1.506184	-1.578899	
NA	100	100000.00	100000.00	100000.00	1158	223.665359	124.078182	318.000000	470.366263	297.222222	201.083095	120.120594	NA	NA	NA	-1.517192	-1.307292	-1.613058	-2.655656	1.038015	-1.514944	-2.067631	
NA	100	100000.00	100000.00	100000.00	1224	236.413125	159.418990	288.000000	419.490101	289.454545	224.064020	156.794888	NA	NA	NA	-1.109944	-0.676962	-1.012402	-1.887318	0.708395	-1.130016	-1.452117	
NA	100	100000.00	100000.00	100000.00	974	188.126131	112.968889	216.000000	365.778586	239.373737	181.453555	110.866213	NA	NA	NA	-1.360442	-0.457789	-1.017073	-2.303334	0.858755	-1.463148	-1.768229	
NA	100	100000.00	100000.00	100000.00	1291	249.354040	147.247677	337.000000	490.368485	318.808081	228.372944	143.375180	NA	NA	NA	-1.395801	-1.091374	-1.417178	-2.361232	0.879736	-1.400971	-1.812977	
NA	100	100000.00	100000.00	100000.00	1333	257.466255	140.116364	333.000000	474.065455	307.090909	239.384637	136.179963	NA	NA	NA	-1.553786	-0.911354	-1.395556	-2.225954	0.608875	-1.623042	-1.578247	
NA	100	100000.00	100000.00	100000.00	1235	238.537753	162.661414	338.000000	409.096162	285.878788	214.728019	159.083076	NA	NA	NA	-1.084118	-1.293778	-1.368370	-1.772490	0.626666	-0.975259	-1.340841	
NA	100	100000.00	100000.00	100000.00	1316	254.182739	156.230707	336.000000	419.324848	287.777778	234.596944	152.561946	NA	NA	NA	-1.313650	-0.999730	-1.317330	-1.776242	0.417492	-1.316370	-1.218769	
NA	100	100000.00	100000.00	100000.00	1090	210.531296	139.594141	238.000000	423.335152	281.464646	203.955711	137.585859	NA	NA	NA	-1.147892	-0.403984	-0.869091	-2.311173	1.063008	-1.224459	-1.894104	
NA	100	100000.00	100000.00	100000.00	1167	225.403691	154.514343	270.000000	397.930101	276.222222	214.728019	152.157493	NA	NA	NA	-1.071685	-0.613331	-0.953282	-1.852396	0.711643	-1.096640	-1.434879	
NA	100	100000.00	100000.00	100000.00	1209	233.515906	148.412525	306.000000	406.900606	277.656566	216.164327	145.196454	NA	NA	NA	-1.242019	-0.962801	-1.256041	-1.899016	0.596789	-1.235577	-1.392206	
NA	100	100000.00	100000.00	100000.00	1054	203.577969	128.424848	259.000000	391.999394	260.212121	190.310786	125.760049	NA	NA	NA	-1.257497	-0.842419	-1.192173	-2.219924	0.877501	-1.275973	-1.733993	
NA	100	100000.00	100000.00	100000.00	1119	216.132588	115.778788	332.000000	427.473737	271.626263	188.395709	111.366110	NA	NA	NA	-1.581969	-1.660678	-1.860606	-2.473337	0.810222	-1.538064	-1.832632	
NA	100	100000.00	100000.00	100000.00	1105	213.428516	115.636162	304.000000	452.586061	284.111111	191.747094	111.792002	NA	NA	NA	-1.561053	-1.314278	-1.641219	-2.707475	1.044969	-1.568675	-2.099953	
NA	100	100000.00	100000.00	100000.00	1144	220.961287	143.969293	307.000000	409.162020	276.565657	200.364941	140.642136	NA	NA	NA	-1.187263	-1.206669	-1.372537	-2.058532	0.794214	-1.121505	-1.596521	
NA	100	100000.00	100000.00	100000.00	1299	250.899224	178.611313	348.000000	439.893737	309.252525	227.654790	175.154401	NA	NA	NA	-0.982113	-1.201772	-1.257367	-1.787016	0.734603	-0.868056	-1.412960	
NA	100	100000.00	100000.00	100000.00	1023	197.590382	100.171919	288.000000	469.100808	284.636364	175.947708	96.338693	NA	NA	NA	-1.679257	-1.415083	-1.766303	-3.201001	1.389277	-1.701586	-2.573850	
NA	100	100000.00	100000.00	100000.00	1243	240.082937	162.272525	352.000000	354.838586	258.555556	213.291711	158.400536	NA	NA	NA	-1.104619	-1.446565	-1.471219	-1.376156	0.242963	-0.968505	-0.896374	
NA	100	100000.00	100000.00	100000.00	1204	232.550166	122.927879	307.000000	453.860000	288.393939	214.728019	119.171305	NA	NA	NA	-1.606475	-0.992952	-1.473172	-2.441295	0.758133	-1.674771	-1.784363	
NA	100	100000.00	100000.00	100000.00	1261	243.559601	159.083030	315.000000	449.704848	304.393939	226.457866	155.901051	NA	NA	NA	-1.182189	-0.910415	-1.191934	-2.047363	0.788777	-1.172754	-1.587373	
NA	100	100000.00	100000.00	100000.00	1240	239.503493	166.058182	378.000000	391.921616	278.989899	206.349557	161.732839	NA	NA	NA	-1.045166	-1.794376	-1.647418	-1.618003	0.520598	-0.813617	-1.193426	
NA	100	100000.00	100000.00	100000.00	1288	248.774596	159.187879	316.000000	403.115152	281.151515	232.681867	155.987631	NA	NA	NA	-1.227501	-0.839016	-1.173866	-1.682515	0.411050	-1.240769	-1.163682	
NA	100	100000.00	100000.00	100000.00	1147	221.540731	125.284848	308.000000	405.705051	265.494949	200.843710	121.555968	NA	NA	NA	-1.480455	-1.209449	-1.534274	-2.171063	0.626180	-1.485368	-1.558218	
NA	100	100000.00	100000.00	100000.00	1057	204.157413	114.156162	294.000000	373.581212	243.868687	182.650478	110.485879	NA	NA	NA	-1.501684	-1.361810	-1.637393	-2.178801	0.613561	-1.486076	-1.554766	
NA	100	100000.00	100000.00	100000.00	1104	213.235368	131.211313	270.000000	403.172525	267.191919	199.646787	128.378891	NA	NA	NA	-1.310527	-0.824441	-1.210354	-2.187246	0.798409	-1.343102	-1.669268	
NA	100	100000.00	100000.00	100000.00	1316	254.182739	201.346263	223.000000	425.603232	313.474747	261.647408	200.904350	NA	NA	NA	-0.708598	0.381024	-0.158676	-1.514039	0.736834	-0.874206	-1.265104	
NA	100	100000.00	100000.00	100000.00	1085	209.565556	126.839596	288.000000	368.029091	247.434343	190.789556	123.550608	NA	NA	NA	-1.344803	-1.158760	-1.429813	-1.973591	0.570099	-1.325788	-1.416895	
NA	100	100000.00	100000.00	100000.00	1344	259.590883	157.608889	337.000000	433.663838	295.636364	241.060329	153.947846	NA	NA	NA	-1.339286	-0.926449	-1.287400	-1.825048	0.438665	-1.360473	-1.258052	
NA	100	100000.00	100000.00	100000.00	1227	236.992569	158.362828	314.000000	416.990707	287.676768	218.558173	155.186559	NA	NA	NA	-1.130760	-1.008118	-1.222464	-1.872273	0.675268	-1.091277	-1.424225	
NA	100	100000.00	100000.00	100000.00	1136	219.416103	134.684646	268.000000	421.820404	278.252525	207.785865	131.963925	NA	NA	NA	-1.315780	-0.686091	-1.130193	-2.244496	0.846257	-1.373141	-1.729030	
NA	100	100000.00	100000.00	100000.00	1226	236.799421	151.981010	282.000000	403.736162	277.858586	225.979097	149.327561	NA	NA	NA	-1.220750	-0.592204	-1.022070	-1.824001	0.547477	-1.276747	-1.321949	
NA	100	100000.00	100000.00	100000.00	1202	232.163870	179.099798	270.000000	410.152727	294.626263	223.106482	177.244692	NA	NA	NA	-0.778925	-0.505454	-0.728695	-1.707309	0.849389	-0.773703	-1.437451	
NA	100	100000.00	100000.00	100000.00	1009	194.886310	113.290707	234.000000	418.971919	266.131313	185.523094	110.827252	NA	NA	NA	-1.425950	-0.620534	-1.150706	-2.688869	1.152748	-1.514473	-2.153549	
NA	100	100000.00	100000.00	100000.00	1221	235.833681	145.190909	293.000000	411.435354	278.313131	222.148943	142.174397	NA	NA	NA	-1.309902	-0.751993	-1.166631	-1.936847	0.568720	-1.354993	-1.396228	
NA	100	100000.00	100000.00	100000.00	1180	227.914614	137.093333	300.000000	515.876364	326.484848	210.658480	133.768707	NA	NA	NA	-1.357934	-0.980646	-1.330047	-2.850907	1.365229	-1.373553	-2.368708	
NA	100	100000.00	100000.00	100000.00	1270	245.297932	158.891717	322.000000	435.411313	297.151515	226.936636	155.562977	NA	NA	NA	-1.200650	-0.970649	-1.238151	-1.934260	0.667596	-1.183835	-1.453605	
NA	100	100000.00	100000.00	100000.00	1201	231.970722	171.420404	337.000000	430.983636	301.202020	206.828326	168.041229	NA	NA	NA	-0.889553	-1.404237	-1.328451	-1.919569	0.942215	-0.705678	-1.608574	
NA	100	100000.00	100000.00	100000.00	1362	263.067546	197.772121	274.000000	417.460202	307.616162	260.450485	196.216450	NA	NA	NA	-0.846197	-0.129138	-0.539879	-1.433266	0.535021	-0.928684	-1.101147	
